Unique_ID,Treaty,provision,actorholder,action,actoraffected,natural_language_sentence
BBNJ_M018,BBNJ,"BBNJ, Article 11(4)",Contracting Party,Disability: Cannot claim or exercise sovereignty or sovereign rights over MGR of ABNJ; no such claim shall be recognized.,Affected Parties,"Under Article 11(4) of the BBNJ, Contracting Party has a duty towards Affected Parties, not to claim or exercise sovereignty or sovereign rights over MGR of ABNJ; no such claim or exercise shall be recognized."
BBNJ_M019,BBNJ,"BBNJ, Article 11(5)",Contracting Party,Disability: Collection in situ of MGR of ABNJ does not constitute a legal basis for any claim to any part of the marine environment or its resources.,Affected Parties,"Under Article 11(5) of the BBNJ, Contracting Party has a duty towards Affected Parties, to recognize that collection in situ of MGR of ABNJ shall not constitute the legal basis for any claim to any part of the marine environment or its resources."
BBNJ_M020,BBNJ,"BBNJ, Article 11(7)",Contracting Party,Duty: Must carry out MGR/DSI activities exclusively for peaceful purposes.,Stakeholders,"Under Article 11(7) of the BBNJ, Contracting Party has a duty towards Stakeholders, to carry out MGR/DSI activities exclusively for peaceful purposes."
BBNJ_M021,BBNJ,"BBNJ, Article 12(1)",Contracting Party,Duty: Must take measures to ensure information is notified to the Clearing-House Mechanism in accordance with this Part.,Clearing-House,"Under Article 12(1) of the BBNJ, Contracting Party has a duty towards Clearing-House, to take measures to ensure that information is notified to the Clearing-House Mechanism in accordance with this Part."
BBNJ_M022,BBNJ,"BBNJ, Article 12(2)(a)",Contracting Party,Duty: Must notify the nature and objectives of planned in situ collection (and any programme(s) it forms part of).,Clearing-House,"Under Article 12(2)(a) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify the nature and objectives of planned in situ collection, and any programme(s) of which it forms part."
BBNJ_M023,BBNJ,"BBNJ, Article 12(2)(b)",Contracting Party,"Duty: Must notify the research subject matter or, if known, targeted MGR and the purposes for collection.",Clearing-House,"Under Article 12(2)(b) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify the research subject matter, or, if known, the targeted MGR and the purposes of collection."
BBNJ_M024,BBNJ,"BBNJ, Article 12(2)(c)",Contracting Party,Duty: Must notify the geographical areas of collection.,Clearing-House,"Under Article 12(2)(c) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify the geographical areas of collection."
BBNJ_M025,BBNJ,"BBNJ, Article 12(2)(d)",Contracting Party,"Duty: Must notify a summary of methods/means, including vessel name/tonnage/type/class and equipment/study methods.",Clearing-House,"Under Article 12(2)(d) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify a summary of methods and means, including the vessel name, tonnage, type and class, and the equipment and study methods."
BBNJ_M026,BBNJ,"BBNJ, Article 12(2)(e)",Contracting Party,Duty: Must notify information on other contributions to proposed major programmes.,Clearing-House,"Under Article 12(2)(e) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify information on any other contributions to proposed major programmes."
BBNJ_M027,BBNJ,"BBNJ, Article 12(2)(f)",Contracting Party,"Duty: Must notify expected dates of first appearance and final departure of research vessels, or equipment deployment/removal.",Clearing-House,"Under Article 12(2)(f) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify the expected dates of first appearance and final departure of research vessels, and of the deployment and removal of equipment."
BBNJ_M028,BBNJ,"BBNJ, Article 12(2)(g)",Contracting Party,Duty: Must notify sponsoring institution(s) and person in charge.,Clearing-House,"Under Article 12(2)(g) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify the sponsoring institution(s) and the person in charge."
BBNJ_M029,BBNJ,"BBNJ, Article 12(2)(h)",Contracting Party,"Duty: Must notify opportunities for scientists of all States, in particular from developing States, to be involved or associated.",Clearing-House,"Under Article 12(2)(h) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify opportunities for scientists of all States, in particular from developing States, to be involved in or associated with the activity."
BBNJ_M030,BBNJ,"BBNJ, Article 12(2)(i)",Contracting Party,Duty: Must notify how States needing/requesting technical assistance (in particular developing States) can participate or be represented.,Clearing-House,"Under Article 12(2)(i) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify how States needing or requesting technical assistance, in particular developing States, can participate or be represented."
BBNJ_M031,BBNJ,"BBNJ, Article 12(2)(j)",Contracting Party,"Duty: Must notify a data management plan prepared according to open and responsible data governance, taking into account current international practice.",Clearing-House,"Under Article 12(2)(j) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify a data management plan prepared according to open and responsible data governance, taking into account current international practice."
BBNJ_M032,BBNJ,"BBNJ, Article 12(3)",Clearing-House,Duty: Must automatically generate a “BBNJ” standardized batch identifier upon receipt of the prior notification.,Contracting Party,"Under Article 12(3) of the BBNJ, Clearing-House has a duty towards Contracting Party, to automatically generate a “BBNJ” standardized batch identifier upon receipt of the notification referred to in paragraph 2."
BBNJ_M033,BBNJ,"BBNJ, Article 12(4)",Contracting Party,"Duty: Must notify updated information upon material change prior to collection, within a reasonable period and no later than the start of collection in situ, when practicable.",Clearing-House,"Under Article 12(4) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify updated information upon a material change prior to collection, within a reasonable period of time and no later than the start of collection in situ, when practicable."
BBNJ_M034,BBNJ,"BBNJ, Article 12(5)",Contracting Party,"Duty: Must notify specified post-collection information (incl. repository/database locations, deposit of samples, area/depth report, updates to data management plan) as soon as available, and no later than one year from collection in situ.",Clearing-House,"Under Article 12(5) of the BBNJ, Contracting Party has a duty towards Clearing-House, to notify specified post-collection information (including repository/database locations, deposit of samples, area/depth report, and updates to the data management plan) as soon as it becomes available, but no later than one year from the collection in situ."
BBNJ_M035,BBNJ,"BBNJ, Article 12(6)",Contracting Party,"Duty: Must ensure samples/DSI in repositories or databases under their jurisdiction can be identified as originating from ABNJ, in accordance with current international practice and to the extent practicable.",Stakeholders,"Under Article 12(6) of the BBNJ, Contracting Party has a duty towards Stakeholders, to ensure samples/DSI in repositories or databases under their jurisdiction can be identified as originating from ABNJ, in accordance with current international practice and to the extent practicable."
BBNJ_M036,BBNJ,"BBNJ, Article 12(7)",Contracting Party,Duty: Must ensure repositories (to the extent practicable) and databases under their jurisdiction prepare biennial aggregate reports linked to the “BBNJ” batch identifier and make them available to the ABS Committee.,Access and Benefit-Sharing Committee,"Under Article 12(7) of the BBNJ, Contracting Party has a duty towards Access and Benefit-Sharing Committee, to ensure repositories (to the extent practicable) and databases under their jurisdiction prepare, on a biennial basis, an aggregate report linked to the “BBNJ” standardized batch identifier and make it available to the Access and Benefit-Sharing Committee."
BBNJ_M037,BBNJ,"BBNJ, Article 12(8)(a)",Contracting Party,"Duty: Must ensure notification (as soon as available) of where results of utilization (e.g., publications; patents granted, if available and to the extent possible; products developed) can be found, including the “BBNJ” identifier if available.",Clearing-House,"Under Article 12(8)(a) of the BBNJ, Contracting Party has a duty towards Clearing-House, to ensure notification, as soon as such information becomes available, of where results of utilization (e.g., publications; patents granted, if available and to the extent possible; products developed) can be found, including the “BBNJ” identifier, if available."
BBNJ_M038,BBNJ,"BBNJ, Article 12(8)(b)",Contracting Party,Duty: Must ensure notification of details of the post-collection notification related to utilized MGR.,Clearing-House,"Under Article 12(8)(b) of the BBNJ, Contracting Party has a duty towards Clearing-House, to ensure notification, where available, of details of the post-collection notification to the Clearing-House Mechanism related to the marine genetic resources that were the subject of utilization."
BBNJ_M039,BBNJ,"BBNJ, Article 12(8)(c)",Contracting Party,Duty: Must ensure notification of where the original MGR sample is held.,Clearing-House,"Under Article 12(8)(c) of the BBNJ, Contracting Party has a duty towards Clearing-House, to ensure notification of where the original MGR sample that is the subject of utilization is held."
BBNJ_M040,BBNJ,"BBNJ, Article 12(8)(d)",Contracting Party,Duty: Must ensure notification of access modalities for MGR/DSI being utilized and a data management plan for the same.,Clearing-House,"Under Article 12(8)(d) of the BBNJ, Contracting Party has a duty towards Clearing-House, to ensure notification of the modalities envisaged for access to MGR/DSI being utilized, and a data management plan for the same."
BBNJ_M041,BBNJ,"BBNJ, Article 13",Contracting Party,"Duty: Must take measures to ensure access to TK of ABNJ held by IPLCs only with FPIC/approval and involvement, and that access/use is on mutually agreed terms.",IPLCs,"Under Article 13 of the BBNJ, Contracting Party has a duty towards IPLCs, to take measures to ensure that access to traditional knowledge of ABNJ held by IPLCs occurs only with their free, prior and informed consent or approval and involvement, and that access and use are on mutually agreed terms."
BBNJ_M042,BBNJ,"BBNJ, Article 13",Clearing-House,Liberty: May facilitate access to such traditional knowledge.,IPLCs,"Under Article 13 of the BBNJ, Clearing-House has a duty towards IPLCs, to facilitate access to such traditional knowledge."
BBNJ_M043,BBNJ,"BBNJ, Article 14(1)",Contracting Party,Duty: Must ensure benefits from utilization of MGR/DSI of ABNJ are shared fairly and equitably in accordance with this Part.,Concerned Parties,"Under Article 14(1) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to ensure that benefits from the utilization of MGR/DSI of ABNJ are shared fairly and equitably, in accordance with this Part."
BBNJ_M044,BBNJ,"BBNJ, Article 14(2)",Contracting Party,"Duty: Must share non-monetary benefits in the forms listed (e.g., access to samples/DSI, FAIR data, technology transfer, capacity-building).",Concerned Parties,"Under Article 14(2) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to share non-monetary benefits in the listed forms (including access to samples/DSI, FAIR data, technology transfer and capacity-building)."
BBNJ_M045,BBNJ,"BBNJ, Article 14(3)",Contracting Party,Duty: Must ensure MGR/DSI subject to utilization are deposited in publicly accessible repositories/databases within timelines set.,Stakeholders,"Under Article 14(3) of the BBNJ, Contracting Party has a duty towards Stakeholders, to ensure that MGR/DSI subject to utilization are deposited in publicly accessible repositories/databases within the timelines set."
BBNJ_M046,BBNJ,"BBNJ, Article 14(4)",Contracting Party,Liberty: May subject access to MGR/DSI in repositories/databases under its jurisdiction to reasonable conditions.,Researchers,"Under Article 14(4) of the BBNJ, Contracting Party has a duty towards Researchers, to subject access to MGR/DSI in repositories/databases under its jurisdiction to reasonable conditions."
BBNJ_M047,BBNJ,"BBNJ, Article 14(5)",Contracting Party,Duty: Must share monetary benefits fairly and equitably through the financial mechanism under Article 52.,Concerned Parties,"Under Article 14(5) of the BBNJ, Contracting Party has a duty towards Concerned Parties, to share monetary benefits fairly and equitably through the financial mechanism under Article 52."
BBNJ_M048,BBNJ,"BBNJ, Article 14(6)",Developed States,Duty: Must make annual contributions to the special fund referred to in Article 52 until COP decides otherwise.,Secretariat,"Under Article 14(6) of the BBNJ, Developed States has a duty towards Secretariat, to make annual contributions to the special fund referred to in Article 52 until COP decides otherwise."
BBNJ_M049,BBNJ,"BBNJ, Article 14(7)",COP,Power: May decide modalities for sharing monetary benefits (3/4 majority if consensus fails).,Contracting Party,"Under Article 14(7) of the BBNJ, COP has a duty towards Contracting Party, to decide on modalities for sharing monetary benefits (by a three-fourths majority if consensus fails)."
BBNJ_M050,BBNJ,"BBNJ, Article 14(8)",Contracting Party,Power: May declare that adopted modalities shall not take effect for up to four years for that Party.,COP,"Under Article 14(8) of the BBNJ, Contracting Party has a duty towards COP, to declare that the adopted modalities shall not take effect with respect to that Party for up to four years."
BBNJ_M051,BBNJ,"BBNJ, Article 14(10)",COP,Duty: Shall review and assess biennially the monetary benefits and related contributions; first review within five years of entry into force.,Contracting Party,"Under Article 14(10) of the BBNJ, COP has a duty towards Contracting Party, to review and assess, on a biennial basis, the monetary benefits and related contributions; the first review to take place within five years of entry into force."
BBNJ_M052,BBNJ,"BBNJ, Article 15(2)",COP,Power: Elects members of the ABS Committee nominated by Parties; determines its terms of reference and modalities.,Access and Benefit-Sharing Committee,"Under Article 15(2) of the BBNJ, COP has a duty towards Access and Benefit-Sharing Committee, to elect members of the ABS Committee nominated by Parties, and to determine its terms of reference and modalities."
BBNJ_M053,BBNJ,"BBNJ, Article 15(2)",Contracting Party,Power: May nominate members to the ABS Committee.,Access and Benefit-Sharing Committee,"Under Article 15(2) of the BBNJ, Contracting Party has a duty towards Access and Benefit-Sharing Committee, to nominate members to the ABS Committee."
BBNJ_M054,BBNJ,"BBNJ, Article 15(3)",Access and Benefit-Sharing Committee,"Power: May make recommendations to the COP on guidelines, measures and rates/modalities under Part II.",COP,"Under Article 15(3) of the BBNJ, Access and Benefit-Sharing Committee has a duty towards COP, to make recommendations to the COP on guidelines, measures and rates/modalities under Part II."
BBNJ_M055,BBNJ,"BBNJ, Article 15(4)",Contracting Party,Duty: Must make required ABS information available to the ABS Committee through the Clearing-House.,Access and Benefit-Sharing Committee,"Under Article 15(4) of the BBNJ, Contracting Party has a duty towards Access and Benefit-Sharing Committee, to make the required ABS information available to the ABS Committee through the Clearing-House Mechanism."
BBNJ_M056,BBNJ,"BBNJ, Article 15(5)",Access and Benefit-Sharing Committee,Power: May exchange information with relevant legal instruments/frameworks and relevant bodies.,Relevant Bodies,"Under Article 15(5) of the BBNJ, Access and Benefit-Sharing Committee has a duty towards Relevant Bodies, to exchange information with relevant instruments, frameworks and bodies."
BBNJ_M057,BBNJ,"BBNJ, Article 15(6)",Access and Benefit-Sharing Committee,Power: May make recommendations to the COP based on information obtained.,COP,"Under Article 15(6) of the BBNJ, Access and Benefit-Sharing Committee has a duty towards COP, to make recommendations to the COP based on the information obtained."
BBNJ_M058,BBNJ,"BBNJ, Article 16(1)",COP,Power: Adopts procedures for monitoring/transparency (incl. use of “BBNJ” batch identifiers) as recommended by the ABS Committee.,Contracting Party,"Under Article 16(1) of the BBNJ, COP has a duty towards Contracting Party, to adopt procedures for monitoring and transparency (including use of “BBNJ” batch identifiers) as recommended by the ABS Committee."
BBNJ_M059,BBNJ,"BBNJ, Article 16(1)",Access and Benefit-Sharing Committee,Power: Recommends procedures for monitoring/transparency to the COP.,COP,"Under Article 16(1) of the BBNJ, Access and Benefit-Sharing Committee has a duty towards COP, to recommend procedures for monitoring and transparency to the COP."
BBNJ_M060,BBNJ,"BBNJ, Article 16(2)",Contracting Party,Duty: Shall periodically submit reports on implementation of Part II to the ABS Committee.,Access and Benefit-Sharing Committee,"Under Article 16(2) of the BBNJ, Contracting Party has a duty towards Access and Benefit-Sharing Committee, to periodically submit reports on the implementation of Part II to the ABS Committee."
BBNJ_M061,BBNJ,"BBNJ, Article 16(3)",Access and Benefit-Sharing Committee,"Duty: Shall prepare a report (based on CHM info), make it available to Parties, and submit it for COP consideration.",COP,"Under Article 16(3) of the BBNJ, Access and Benefit-Sharing Committee has a duty towards COP, to prepare a report, based on information available through the Clearing-House Mechanism, make it available to Parties, and submit it for consideration by the COP."
BBNJ_M062,BBNJ,"BBNJ, Article 16(3)",Contracting Party,Liberty: May submit comments on the ABS Committee report.,Access and Benefit-Sharing Committee,"Under Article 16(3) of the BBNJ, Contracting Party has a duty towards Access and Benefit-Sharing Committee, to submit comments on the ABS Committee report."
BBNJ_M063,BBNJ,"BBNJ, Article 16(3)",COP,"Power: May determine appropriate guidelines for implementing Article 16, taking into account Parties’ capacities and circumstances.",Contracting Party,"Under Article 16(3) of the BBNJ, COP has a duty towards Contracting Party, to determine appropriate guidelines for implementing Article 16, taking into account Parties’ respective capacities and circumstances."
BBNJ_M064,BBNJ,"BBNJ, Article 18",COP,Disability: Shall not consider for decision proposals that include any areas within national jurisdiction.,Proponent or Requesting Party,"Under Article 18 of the BBNJ, COP has a duty towards Proponent or Requesting Party, not to consider for decision any proposal that includes areas within national jurisdiction."
BBNJ_M065,BBNJ,"BBNJ, Article 18",Contracting Party,"Disability: Shall not rely on ABMT/MPA establishment as a basis for asserting or denying sovereignty, sovereign rights or jurisdiction.",Other Contracting Parties,"Under Article 18 of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, not to rely on the establishment of ABMTs/MPAs as a basis for asserting or denying sovereignty, sovereign rights or jurisdiction."
BBNJ_M066,BBNJ,"BBNJ, Article 19(1)",Contracting Party,"Liberty: May submit proposals for ABMTs/MPAs to the Secretariat, individually or collectively.",Secretariat,"Under Article 19(1) of the BBNJ, Contracting Party has a duty towards Secretariat, to submit proposals for ABMTs/MPAs to the Secretariat, individually or collectively."
BBNJ_M067,BBNJ,"BBNJ, Article 19(2)",Contracting Party,"Duty: Shall collaborate and consult, as appropriate, with relevant stakeholders for the development of proposals.",Stakeholders,"Under Article 19(2) of the BBNJ, Contracting Party has a duty towards Stakeholders, to collaborate and consult, as appropriate, with relevant stakeholders in the development of proposals."
BBNJ_M068,BBNJ,"BBNJ, Article 19(3)",Proponent or Requesting Party,"Duty: Shall formulate proposals on the basis of best available science and, where available, relevant traditional knowledge.",Scientific and Technical Body,"Under Article 19(3) of the BBNJ, Proponent or Requesting Party has a duty towards Scientific and Technical Body, to formulate proposals on the basis of the best available science and, where available, relevant traditional knowledge."
BBNJ_M069,BBNJ,"BBNJ, Article 19(4)",Proponent or Requesting Party,"Duty: Shall include specified key elements (e.g., spatial description, criteria, activities, state of environment, draft measures/plan) in proposals.",Scientific and Technical Body,"Under Article 19(4) of the BBNJ, Proponent or Requesting Party has a duty towards Scientific and Technical Body, to include specified key elements in proposals (e.g., spatial description, criteria, activities, state of the environment, and draft measures or plans)."
BBNJ_M070,BBNJ,"BBNJ, Article 20",Secretariat,Duty: Shall make proposals publicly available and transmit them for preliminary review.,Scientific and Technical Body,"Under Article 20 of the BBNJ, Secretariat has a duty towards Scientific and Technical Body, to make proposals publicly available and to transmit them for preliminary review."
BBNJ_M071,BBNJ,"BBNJ, Article 20",Scientific and Technical Body,Duty: Shall conduct a preliminary review to ascertain required information is included.,Proponent or Requesting Party,"Under Article 20 of the BBNJ, Scientific and Technical Body has a duty towards Proponent or Requesting Party, to conduct a preliminary review to ascertain that the required information is included."
BBNJ_M072,BBNJ,"BBNJ, Article 20",Proponent or Requesting Party,Duty: Shall retransmit the proposal taking into account the preliminary review.,Secretariat,"Under Article 20 of the BBNJ, Proponent or Requesting Party has a duty towards Secretariat, to retransmit the proposal, taking into account the preliminary review."
BBNJ_M073,BBNJ,"BBNJ, Article 20",Secretariat,"Duty: Shall notify Parties, make the retransmitted proposal public, and facilitate consultations under Article 21.",Contracting Party,"Under Article 20 of the BBNJ, Secretariat has a duty towards Contracting Party, to notify the Parties, to make the retransmitted proposal public, and to facilitate consultations under Article 21."
BBNJ_M074,BBNJ,"BBNJ, Article 21(1)",Secretariat,"Duty: Shall facilitate inclusive, transparent consultations and gather input on proposals.",Stakeholders,"Under Article 21(1) of the BBNJ, Secretariat has a duty towards Stakeholders, to facilitate inclusive, transparent consultations and to gather input on proposals."
BBNJ_M075,BBNJ,"BBNJ, Article 21(2)(a)",Coastal States,Liberty: May submit views and information during consultations (notified/invited).,Secretariat,"Under Article 21(2)(a) of the BBNJ, Coastal States has a duty towards Secretariat, to submit views and information during consultations, when notified or invited."
BBNJ_M076,BBNJ,"BBNJ, Article 21(2)(b)",Relevant Bodies,Liberty: May submit views and information within their competence during consultations (invited).,Secretariat,"Under Article 21(2)(b) of the BBNJ, Relevant Bodies has a duty towards Secretariat, to submit views and information within their competence during consultations, when invited."
BBNJ_M077,BBNJ,"BBNJ, Article 21(2)(c)",IPLCs,Liberty: May submit views and other relevant information during consultations (invited).,Secretariat,"Under Article 21(2)(c) of the BBNJ, IPLCs has a duty towards Secretariat, to submit views and other relevant information during consultations, when invited."
BBNJ_M078,BBNJ,"BBNJ, Article 21(5)",Proponent or Requesting Party,"Duty: Shall take into account comments and, as appropriate, revise the proposal or respond to substantive contributions.",Stakeholders,"Under Article 21(5) of the BBNJ, Proponent or Requesting Party has a duty towards Stakeholders, to take into account comments and, as appropriate, to revise the proposal or respond to substantive contributions."
BBNJ_M079,BBNJ,"BBNJ, Article 21(7)",Scientific and Technical Body,Duty: Shall assess the revised proposal and make recommendations.,COP,"Under Article 21(7) of the BBNJ, Scientific and Technical Body has a duty towards COP, to assess the revised proposal and to make recommendations."
BBNJ_M080,BBNJ,"BBNJ, Article 21(8)",Scientific and Technical Body,Power: May elaborate modalities for consultation and assessment for COP consideration and adoption.,COP,"Under Article 21(8) of the BBNJ, Scientific and Technical Body has a duty towards COP, to elaborate modalities for consultation and assessment for consideration and adoption by the COP."
BBNJ_M081,BBNJ,"BBNJ, Article 22(1)(a)",COP,Power: Shall take decisions on the establishment of ABMTs/MPAs and related measures.,Contracting Party,"Under Article 22(1)(a) of the BBNJ, COP has a duty towards Contracting Party, to take decisions on the establishment of ABMTs/MPAs and related measures."
BBNJ_M082,BBNJ,"BBNJ, Article 22(1)(b)",COP,Power: May take decisions on measures compatible with those of relevant instruments/frameworks/bodies.,Relevant Bodies,"Under Article 22(1)(b) of the BBNJ, COP has a duty towards Relevant Bodies, to take decisions on measures compatible with those of relevant instruments, frameworks and bodies."
BBNJ_M083,BBNJ,"BBNJ, Article 22(3)",COP,Duty: Shall make arrangements for regular consultations to enhance cooperation and coordination with and among relevant bodies.,Relevant Bodies,"Under Article 22(3) of the BBNJ, COP has a duty towards Relevant Bodies, to make arrangements for regular consultations to enhance cooperation and coordination with and among relevant bodies."
BBNJ_M084,BBNJ,"BBNJ, Article 23(1)–(3)",COP,Power: May adopt binding decisions/recommendations (consensus; voting rules apply) that enter into force after 120 days.,Contracting Party,"Under Article 23(1)–(3) of the BBNJ, COP has a duty towards Contracting Party, to adopt binding decisions/recommendations (consensus; voting rules apply) that enter into force 120 days after adoption."
BBNJ_M085,BBNJ,"BBNJ, Article 23(4)",Contracting Party,Power: May object in writing within 120 days on specified grounds.,COP,"Under Article 23(4) of the BBNJ, Contracting Party has a duty towards COP, to object in writing within 120 days on specified grounds."
BBNJ_M086,BBNJ,"BBNJ, Article 23(6)",Contracting Party,"Duty: Shall, to the extent practicable, adopt alternative measures equivalent in effect and not undermine decision effectiveness.",Other Contracting Parties,"Under Article 23(6) of the BBNJ, Contracting Party has a duty towards Other Contracting Parties, to adopt, to the extent practicable, alternative measures that are equivalent in effect and do not undermine the effectiveness of the decision."
BBNJ_M087,BBNJ,"BBNJ, Article 24(1)",COP,"Power: Shall adopt emergency measures, if necessary, to prevent exacerbation of serious or irreversible harm in ABNJ.",Contracting Party,"Under Article 24(1) of the BBNJ, COP has a duty towards Contracting Party, to adopt emergency measures, if necessary, to prevent the exacerbation of serious or irreversible harm in ABNJ."
